Pokémon,Rareza,Nivel,Método,Generación
Pidgey,Common,23-27,Walking,Generation 3
Oddish,Common,22-26,Walking,Generation 3
Venonat,Common,24-26,Walking,Generation 3
Gloom,Rare,28-30,Walking,Generation 3
Tentacool,Common,5-40,Surfing,Generation 3
Horsea,Common,15-35,Super Rod,Generation 3
Psyduck,Rare,25-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Horsea,Common,5-15,Good Rod,Generation 3
Krabby,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
Snorlax,Limited,30,Interact,Generation 3
