Pokémon,Rareza,Nivel,Método,Generación
Oddish,Common,12-14,Walking,Generation 3
Metapod,Rare,9,Walking,Generation 3
Kakuna,Rare,9,Walking,Generation 3
Caterpie,Uncommon,8,Walking,Generation 3
Weedle,Uncommon,7-8,Walking,Generation 3
Pidgey,Uncommon,11-13,Walking,Generation 3
Abra,Uncommon,9-12,Walking,Generation 3
Psyduck,Common,20-40,Surfing,Generation 3
Poliwag,Common,15-25,Super Rod,Generation 3
Poliwhirl,Common,20-30,Super Rod,Generation 3
Psyduck,Rare,15-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Poliwag,Common,5-15,Good Rod,Generation 3
Goldeen,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
