Pokémon,Rareza,Nivel,Método,Generación
Oddish,Common,22-26,Walking,Generation 3
Venonat,Common,24-26,Walking,Generation 3
Pidgeotto,Rare,29,Walking,Generation 3
Gloom,Rare,28-30,Walking,Generation 3
Ditto,Rare,25,Walking,Generation 3
Pidgey,Uncommon,25-27,Walking,Generation 3
Tentacool,Common,5-40,Surfing,Generation 3
Horsea,Common,15-35,Super Rod,Generation 3
Psyduck,Rare,25-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Horsea,Common,5-15,Good Rod,Generation 3
Krabby,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
