Pokémon,Rareza,Nivel,Método,Generación
Rattata,Common,8-12,Walking,Generation 3
Spearow,Common,8-12,Walking,Generation 3
Ekans,Common,6-12,Walking,Generation 3
Mankey,Rare,10-12,Walking,Generation 3
Tentacool,Common,5-40,Surfing,Generation 3
Horsea,Common,15-35,Super Rod,Generation 3
Psyduck,Rare,25-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Horsea,Common,5-15,Good Rod,Generation 3
Krabby,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
Magikarp,Common,5,Gift,Generation 3
